iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.168113315302,0.16722959453,0.167724494119,0.312048650703,0.320757324489,0.316086235489,0.386705273534,0.393284779657,0.388735177866,0.107376919
10,0.064067292846,0.0635434379314,0.0632035661864,0.817456204001,0.819789939193,0.818021006081,0.586328400282,0.590966122961,0.589526184539,0.358555902
20,0.0573236337801,0.0566526376875,0.0561239350358,0.836667703258,0.841901603096,0.838916528469,0.631652770202,0.644720496894,0.634928589326,0.55914515
30,0.0559589379669,0.055575209529,0.0548294115831,0.837980719395,0.842592592593,0.838474295191,0.637383033021,0.650076804916,0.636838180462,0.759816435
40,0.0552365945667,0.0549854185738,0.0542482027366,0.839742925262,0.84535655058,0.839800995025,0.633880644143,0.646891763963,0.632326820604,0.959089995
50,0.0548891951257,0.0546318190534,0.0539609131097,0.839742925262,0.845218352681,0.840353786622,0.634284813121,0.647577092511,0.635353535354,1.16063612
60,0.054693948911,0.0545132141885,0.0537917238016,0.84112504751,0.84549474848,0.840353786622,0.636980893731,0.647318611987,0.634615384615,1.401792443
70,0.0544002578662,0.0542441935413,0.0535631076955,0.840572198611,0.843974571587,0.841238253179,0.638627819549,0.64619241617,0.640460691037,1.686573283
80,0.0541914441929,0.0540774142104,0.0534546514613,0.841021388342,0.847153123273,0.841348811498,0.638485110395,0.651763224181,0.638993710692,2.010695817
90,0.0539788508964,0.0538573878959,0.0532290235796,0.84267993504,0.84770591487,0.842786069652,0.646204056259,0.656269494697,0.644322161081,2.240286489
100,0.0538472322168,0.0536408470205,0.0530929880259,0.842541722815,0.847014925373,0.84311774461,0.638362034759,0.649350649351,0.638839399338,2.446553274
110,0.0537518845195,0.0537088867823,0.0529592719772,0.843094571715,0.847153123273,0.843670536208,0.642243756401,0.651543793321,0.641116751269,2.703507124
120,0.0536571461416,0.0536280204526,0.0528890751745,0.843025465602,0.845771144279,0.842675511332,0.639758940607,0.647281921618,0.63800559654,2.907036839
130,0.0536453454094,0.0536050719122,0.0528966067646,0.843578314502,0.845771144279,0.842233278054,0.638678266422,0.6463878327,0.634383807328,3.101011067
140,0.0535948838392,0.0535774122513,0.0528039693121,0.843578314502,0.846876727474,0.842786069652,0.64250177683,0.652664576803,0.639817629179,3.30945924
150,0.0535790767415,0.053593992036,0.0528558419897,0.843267336996,0.847567716971,0.842233278054,0.640684410646,0.653253693807,0.636433121019,3.527896499
160,0.0535811225108,0.0536092565069,0.0528323490134,0.843060018659,0.847567716971,0.84322830293,0.643596986817,0.656493304267,0.642641129032,3.725876756
170,0.0535764479961,0.0536109480364,0.0528248955767,0.842887253378,0.847291321172,0.843559977888,0.643568237046,0.655870445344,0.643487024439,3.953062209
180,0.0535633047549,0.0535879588455,0.0528170384311,0.843094571715,0.848120508568,0.84322830293,0.642862760519,0.65666979069,0.641012658228,4.222595813
190,0.0535502883546,0.0535809996725,0.0528133771759,0.843025465602,0.847429519071,0.84311774461,0.642311629006,0.65478424015,0.64030418251,4.470073183
200,0.0535344262064,0.0535701395352,0.0528154364899,0.84323278394,0.847982310669,0.843781094527,0.642784032753,0.65625,0.64218789567,4.665087883
210,0.0535222473332,0.053552616108,0.0528022677387,0.843198230884,0.847153123273,0.843781094527,0.642733427807,0.654806491885,0.642369020501,4.861463028
220,0.0535217590793,0.053544937197,0.052785401452,0.842783594209,0.847429519071,0.844112769486,0.642126789366,0.655215490319,0.643759474482,5.055250454
230,0.0535177642747,0.0535471271921,0.0527931130747,0.842887253378,0.847014925373,0.843891652847,0.641601639473,0.653521126761,0.642350557244,5.264010147
240,0.0535090331182,0.0535422607969,0.0528023513164,0.842990912546,0.847014925373,0.843449419569,0.640221694378,0.652869238006,0.63987792472,5.460250496
250,0.0535122010679,0.0535703645572,0.0528095113935,0.843094571715,0.847153123273,0.843449419569,0.64145282274,0.653725735755,0.640973630832,5.654683496
260,0.0535049032571,0.0535628761789,0.0528137499126,0.843129124771,0.847153123273,0.843449419569,0.641390205371,0.65350877193,0.640426612494,5.856204004
270,0.0535030038392,0.0535708898678,0.0528144315705,0.842990912546,0.847014925373,0.843559977888,0.641640378549,0.653521126761,0.641136190718,6.079944352
280,0.0534963426962,0.0535658697195,0.052807831651,0.843129124771,0.847291321172,0.843670536208,0.642068748029,0.654579556111,0.641843971631,6.301095844
290,0.0534928702872,0.053563885767,0.0528049576109,0.843094571715,0.847153123273,0.843559977888,0.642018131652,0.654375,0.641681438339,6.497554213
300,0.0534902702866,0.0535661295226,0.0528257850178,0.843163677827,0.846462133776,0.842343836374,0.640019034023,0.650738761396,0.636409994901,6.695594069
310,0.0534949794813,0.0535811942549,0.0528151346914,0.843198230884,0.846876727474,0.843007186291,0.641944137605,0.653099561678,0.640141915864,6.936615651
320,0.05348572958,0.0535591463525,0.0527926740983,0.843267336996,0.847291321172,0.843670536208,0.642665826375,0.655010927256,0.642206477733,7.149602671
330,0.0534800402494,0.0535572114317,0.0527933607867,0.843301890052,0.847429519071,0.843670536208,0.642547489556,0.655215490319,0.642387455741,7.368831987
340,0.0534787699108,0.0535613875647,0.0527948024316,0.843267336996,0.847291321172,0.843559977888,0.642327708563,0.654147104851,0.641681438339,7.566237501
350,0.0534785009651,0.0535656048638,0.052786330346,0.843336443108,0.847153123273,0.843559977888,0.642316188072,0.653725735755,0.641681438339,7.772180677
360,0.0534789960592,0.0535693842798,0.0527819184831,0.843198230884,0.847291321172,0.843449419569,0.642508271624,0.654579556111,0.641881638847,7.97356191
370,0.0534750162818,0.0535614056569,0.0527737982569,0.84323278394,0.847429519071,0.843670536208,0.642558890727,0.655,0.642568250758,8.185349928
380,0.0534730489675,0.0535540983719,0.0527731826901,0.843198230884,0.847153123273,0.843449419569,0.642451938229,0.6545908807,0.641881638847,8.408017046
390,0.0534717331915,0.0535559405547,0.052779590191,0.843267336996,0.847291321172,0.843338861249,0.642553191489,0.654579556111,0.64153807235,8.623848084
400,0.0534695127488,0.0535547940787,0.0527785748563,0.843198230884,0.847153123273,0.843449419569,0.642395587076,0.654375,0.641881638847,8.854298196
410,0.0534669471284,0.0535527062589,0.0527789382726,0.843094571715,0.847153123273,0.84311774461,0.642018131652,0.653942428035,0.640850417616,9.13199487
420,0.0534638615083,0.0535597671164,0.0527783120993,0.843129124771,0.846738529574,0.843559977888,0.642068748029,0.653329165364,0.642044017202,9.354743309
430,0.0534622495579,0.0535534018097,0.0527790365715,0.842990912546,0.847014925373,0.844002211166,0.642035607374,0.654170571696,0.643416729846,9.553045963
440,0.0534638532568,0.053559971573,0.0527830094908,0.843025465602,0.846876727474,0.843670536208,0.642142575817,0.653966271081,0.642568250758,9.784179853
450,0.0534612251942,0.0535583017261,0.0527842807621,0.843060018659,0.846738529574,0.843559977888,0.642080378251,0.653545766948,0.642225031606,9.998554894
460,0.0534623818922,0.0535626010163,0.0527882138963,0.843129124771,0.846738529574,0.843338861249,0.642237982664,0.653545766948,0.641719342604,10.224891758
470,0.0534609030143,0.0535614383078,0.0527891650522,0.843094571715,0.847014925373,0.843007186291,0.64184872624,0.653954360738,0.640506329114,10.428669517
480,0.0534603894662,0.0535656556995,0.0527907652095,0.843198230884,0.846738529574,0.84322830293,0.642226426995,0.653545766948,0.641557128413,10.639912415
490,0.0534612693803,0.0535694809396,0.05279466541,0.843060018659,0.846738529574,0.843449419569,0.642136779073,0.653545766948,0.642243557352,10.850371319
500,0.0534617925138,0.0535711363891,0.052792840682,0.843129124771,0.846738529574,0.843670536208,0.642237982664,0.653545766948,0.642568250758,11.064217203
510,0.0534606723191,0.053576194237,0.0527947324549,0.843129124771,0.846876727474,0.843670536208,0.642237982664,0.65375,0.642568250758,11.314375618
520,0.0534592780899,0.0535740826164,0.0527933210921,0.843129124771,0.846738529574,0.843559977888,0.642237982664,0.653545766948,0.642405863028,11.534286147
530,0.0534580182096,0.0535724139929,0.0527939917303,0.84323278394,0.846600331675,0.843449419569,0.642389847876,0.653125,0.642062689585,11.738091839
540,0.0534544080793,0.0535653271974,0.0527933120209,0.843336443108,0.846876727474,0.843338861249,0.642372613977,0.653533458412,0.64153807235,11.944213414
550,0.0534548283971,0.053565608196,0.0527897217235,0.84323278394,0.846462133776,0.843338861249,0.642333464722,0.652920962199,0.64208133367,12.143118273
560,0.0534547512312,0.0535668023299,0.0527898922033,0.84323278394,0.846600331675,0.843449419569,0.642333464722,0.653341661462,0.642243557352,12.410804713
570,0.0534548203148,0.053567301329,0.0527906298694,0.843301890052,0.846600331675,0.84322830293,0.642434755184,0.653125,0.641557128413,12.64235034
580,0.0534529354239,0.0535651653772,0.0527919471772,0.843336443108,0.846876727474,0.84322830293,0.642372613977,0.653533458412,0.641375821952,12.842176105
590,0.0534542097002,0.0535673494408,0.0527871103085,0.843094571715,0.846600331675,0.84322830293,0.642074564515,0.653125,0.641738251642,13.044047191
600,0.0534519021086,0.0535639000536,0.0527870656725,0.843163677827,0.846600331675,0.84322830293,0.642175798187,0.653125,0.641557128413,13.257136387
610,0.0534525063593,0.0535669949137,0.0527886873485,0.843163677827,0.846600331675,0.84311774461,0.642119372388,0.653125,0.641213653603,13.459050513
620,0.0534498027086,0.0535615775224,0.052785849007,0.843267336996,0.846600331675,0.842896627971,0.642327708563,0.653125,0.640707964602,13.675952607
630,0.0534515348103,0.0535669590861,0.0527878950535,0.843094571715,0.846600331675,0.843007186291,0.642018131652,0.653125,0.64105156724,13.893479487
640,0.0534509130851,0.0535669649647,0.0527899451249,0.84323278394,0.846600331675,0.843007186291,0.64222064506,0.653125,0.64105156724,14.104105691
650,0.0534505498629,0.0535709542325,0.0527941744494,0.84323278394,0.846876727474,0.84311774461,0.642164208534,0.653533458412,0.641213653603,14.31902371
660,0.0534494514582,0.0535714690137,0.0527937738086,0.843198230884,0.846876727474,0.842896627971,0.642113564669,0.653533458412,0.640526182646,14.515568363
670,0.0534489961027,0.053571622759,0.0527934764611,0.843094571715,0.846876727474,0.843007186291,0.642018131652,0.653533458412,0.64105156724,14.714699392
680,0.0534482387361,0.0535711808564,0.0527921842266,0.84323278394,0.846738529574,0.842786069652,0.642446213256,0.653329165364,0.640727640222,14.918511406
690,0.0534481937495,0.0535716039789,0.0527940635203,0.843163677827,0.846738529574,0.842896627971,0.642344968876,0.653329165364,0.6408895628,15.13393161
700,0.0534485831912,0.0535727010958,0.0527948300374,0.843094571715,0.846876727474,0.843007186291,0.642187376881,0.653533458412,0.641232945932,15.362274197
710,0.053448418651,0.0535717664688,0.0527936796365,0.843129124771,0.846738529574,0.842896627971,0.642294358651,0.653329165364,0.6408895628,15.558794344
720,0.0534485789855,0.0535719457298,0.0527933526397,0.843129124771,0.846738529574,0.842786069652,0.642294358651,0.653329165364,0.640727640222,15.771291619
730,0.0534481374842,0.05357234759,0.0527933810695,0.843163677827,0.846738529574,0.842786069652,0.642344968876,0.653329165364,0.640727640222,15.966894824
740,0.0534479248168,0.0535733604229,0.0527969485091,0.843129124771,0.846876727474,0.842786069652,0.642125177361,0.653533458412,0.640364188164,16.164970127
750,0.0534486486977,0.0535727280827,0.0527944615117,0.843163677827,0.846738529574,0.842564953013,0.642288596422,0.653329165364,0.640222334512,16.365775225
760,0.0534488977407,0.0535727204292,0.0527935919434,0.843163677827,0.846738529574,0.842564953013,0.642288596422,0.653329165364,0.640222334512,16.564086278
770,0.0534469409273,0.0535720114373,0.0527945063547,0.843198230884,0.846738529574,0.842564953013,0.642282831468,0.653112292774,0.63967611336,16.765591111
780,0.0534480139858,0.0535730891896,0.0527944686703,0.843163677827,0.846738529574,0.842675511332,0.642344968876,0.653329165364,0.640384129391,16.976273875
790,0.0534471660348,0.0535718298138,0.0527944826017,0.843198230884,0.846738529574,0.842675511332,0.642395587076,0.653329165364,0.640384129391,17.179284595
800,0.0534468057819,0.0535721065258,0.0527936038123,0.843129124771,0.846876727474,0.842675511332,0.642237982664,0.653533458412,0.640384129391,17.37698603
810,0.0534460485545,0.053570895729,0.0527925813573,0.843267336996,0.846738529574,0.842675511332,0.642609517806,0.653329165364,0.640384129391,17.573040259
820,0.0534457338378,0.0535710084341,0.0527919170138,0.84323278394,0.846876727474,0.842564953013,0.64250256087,0.653533458412,0.640222334512,17.769545096
830,0.0534452777687,0.0535693432536,0.0527915141632,0.843267336996,0.846876727474,0.842564953013,0.642609517806,0.65375,0.640222334512,17.966535488
840,0.0534458562454,0.0535698788008,0.0527935643105,0.843198230884,0.846738529574,0.842564953013,0.642395587076,0.653329165364,0.640222334512,18.165360251
850,0.0534450344577,0.053570155695,0.0527928702735,0.84323278394,0.846738529574,0.842454394693,0.642446213256,0.653329165364,0.639878695982,18.362902821
860,0.0534448076949,0.0535702047916,0.0527931226343,0.843163677827,0.846600331675,0.842454394693,0.642175798187,0.652908067542,0.63933181473,18.56120978
870,0.0534446868488,0.053567860074,0.0527912430131,0.843198230884,0.846876727474,0.842675511332,0.642451938229,0.65375,0.640565799444,18.759494722
880,0.0534439773579,0.0535692550754,0.0527910895996,0.84323278394,0.846600331675,0.842343836374,0.642389847876,0.652908067542,0.639534883721,18.977415308
890,0.0534442762697,0.0535731269679,0.0527943199082,0.843198230884,0.846600331675,0.842343836374,0.642339218159,0.652690863579,0.639170040486,19.171366277
900,0.0534424433637,0.0535675681862,0.0527913943729,0.843129124771,0.846462133776,0.842564953013,0.642181588903,0.652486706287,0.63967611336,19.367201492
910,0.0534436753601,0.0535691365755,0.0527935188931,0.843129124771,0.846462133776,0.842454394693,0.642181588903,0.652486706287,0.639514292942,19.566204912
920,0.0534428313374,0.0535681082253,0.0527929255015,0.84323278394,0.846462133776,0.842233278054,0.64250256087,0.652486706287,0.639190897598,19.774124557
930,0.0534426822456,0.0535701146659,0.0527933491526,0.843163677827,0.846600331675,0.842012161415,0.642288596422,0.652908067542,0.638685208597,19.995612419
